status,total_num_contacts_interacted_with,num_#_sms,total_interactions,ave_age,duration(s),num_contacts,ratio_of_bad_words_used,num_*_sms,ave_message_body_length,max_age,ave_daily_sms,user_id,calls,num_#_calls,num_bad_words_used,num_*_calls,ave_duration(s),ave_daily_duration(s),num_derogatory_sms,ave_daily_sms_count,ave_daily_contacts_interacted_with,ave_daily_calls
defaulted,455,0,9102,40899546.685139306,103845,600,0.0004839099927413501,0,23.83753234372872,14519339073.224453,47.07692307692308,130,1758,3,16,5,59.069965870307165,811.2890625,15,80.68131868131869,9.846153846153847,13.734375
repaid,317,0,9379,,83751,446,0.001887723362721754,0,33.38594029089053,,71.91743119266054,137,1540,3,88,11,54.38376623376623,890.968085106383,80,97.95,11.394495412844037,16.382978723404257
repaid,1036,0,11346,,290995,1676,0.0008998287422716322,0,66.97558625120463,,14.985576923076923,136,8229,0,31,1,35.36213391663629,2034.93006993007,24,15.425742574257425,23.432692307692307,57.54545454545455
repaid,35,0,276,,3973,114,0.0019286403085824494,0,66.17391304347827,,4.181818181818182,135,184,0,2,4,21.592391304347824,189.1904761904762,2,10.11111111111111,4.681818181818182,8.761904761904763
repaid,571,0,5137,,213457,605,0.0007458456397863899,0,61.97772037455602,,14.28110599078341,134,2038,0,25,0,104.73846908734053,1694.1031746031747,25,14.409302325581395,10.493087557603687,16.174603174603174
repaid,546,0,5926,,43071,284,0.000219272599695942,0,94.82632050134288,,14.313099041533546,139,1446,0,15,0,29.786307053941908,418.1650485436893,15,14.40192926045016,7.015974440894569,14.03883495145631
repaid,396,0,3646,,71504,992,0.00020977554017201594,0,97.11916264090178,,3.3567567567567567,138,3025,0,2,0,23.637685950413225,392.8791208791209,2,4.275862068965517,8.31891891891892,16.62087912087912
repaid,743,1,9200,,93355,588,0.0001226830789363377,2,97.04333438386385,,11.071428571428571,24,2845,0,12,0,32.81370826010545,1905.204081632653,12,11.089005235602095,7.585365853658536,58.06122448979592
repaid,326,0,7961,,94387,649,0.0003233920229967661,0,25.419047619047618,,50.429752066115704,25,1859,0,9,2,50.772996234534695,793.1680672268908,9,80.25,9.958677685950413,15.621848739495798
defaulted,181,0,1314,,18148,371,0.0,0,33.93811881188119,,25.25,26,506,0,0,7,35.865612648221344,567.125,0,73.36363636363636,12.40625,15.8125
repaid,439,0,6550,,244539,167,0.0011942946836825223,0,56.28530872959546,,18.18709677419355,27,3731,0,35,3,65.54248190833556,1619.4635761589404,33,29.66315789473684,12.916129032258064,24.70860927152318
defaulted,232,0,3132,,19056,483,0.0006487889273356401,0,33.18255033557047,,28.29113924050633,20,897,4,9,8,21.244147157190636,443.16279069767444,9,29.786666666666665,9.063291139240507,20.86046511627907
repaid,485,0,7794,,155129,624,0.001095751854349292,0,59.057363485934914,,17.68780487804878,21,4168,0,39,1,37.21904990403071,1292.7416666666666,39,19.17989417989418,10.95609756097561,34.733333333333334
defaulted,434,0,6047,,15857,590,0.0028595224875069404,0,73.09963898916968,,25.328767123287673,22,500,6,206,6,31.714,440.47222222222223,206,25.440366972477065,10.401826484018265,13.88888888888889
